Country,2000-2005,2006-2010,2011-2015,2016-2019
Netherlands,11.469,34.956,40.165,43.101
New Caledonia,1.474,10.696,19.5,0
New Zealand,2.697,20.281,29.312,33.746
Nicaragua,0.077,0.846,1.798,3.1
Niger,0.001,0.005,0.072,0.039
Nigeria,0,0.049,0.009,0.049
Niue,0,0,0,0
Norfolk Islands,0,0,0,0
North Macedonia,0.604,7.827,15.902,19.93
Northern Marianas,0,0,0,0
Norway,8.621,32.081,37.728,41.09
Oman,0.141,1.214,3.921,8.312
Pakistan,0.009,0.161,0.845,0.838
Palau,0.439,0.745,6.298,0
Palestine,0.105,1.112,4.888,7.328
Panama,0.43,5.379,7.875,11.664
Papua New Guinea,0,0.063,0.143,0.209
Paraguay,0.029,0.629,2.489,4.458
Peru,0.515,2.473,5.376,7.377
Philippines,0.07,0.968,2.482,3.785
Poland,1.12,11.997,18.55,20.161
Portugal,4.604,16.296,25.229,35.784
Puerto Rico,1.56,9.952,17.512,20.654
Qatar,1.221,7.152,8.835,9.664
Romania,0.649,10.957,18.783,25.005
Russian Federation,0.455,6.373,15.809,21.211
Rwanda,0.013,0.024,0.075,0.125
Réunion,5.673,19.24,0,0
Saint Kitts and Nevis,7.212,23.652,27.511,46.509
Saint Lucia,2.501,8.529,14.334,17.291
Saint Vincent and the Grenadines,1.342,8.667,13.458,20.049
Samoa,0.027,0.086,0.838,0.991
San Marino,3.326,12.652,30.684,32.966
Sao Tome and Principe,0,0.208,0.508,0.729
Saudi Arabia,0.202,3.811,11.864,19.977
Senegal,0.067,0.414,0.724,0.783
Serbia,0.364,5.213,12.829,17.325
Seychelles,0.734,4.576,12.327,19.582
Sierra Leone,0,0,0,0
Singapore,8.422,22.294,26.815,26.466
Slovakia,1.328,11.509,20.552,26.762
Slovenia,4.338,19.446,25.727,29.274
Solomon Islands,0.07,0.3,0.325,0.208
Somalia,0,0,0.472,0.66
South Africa,0.13,0.944,2.504,2.017
South Sudan,0,0,0.001,0.002
Spain,4.761,19.273,26.226,31.906
Sri Lanka,0.047,0.583,2.252,6.277
St. Helena,0.184,4.695,16.931,19.63
St. Maarten,0,0,0,0
St. Pierre & Miquelon,0,0,0,0
Sudan,0.003,0.064,0.063,0.073
Suriname,0.093,1.411,6.865,12.903
Sweden,12.439,30.54,33.314,39.026
Switzerland,9.864,33.091,41.828,45.959
Syrian Arab Republic,0.009,0.121,2.052,7.669
"Taiwan, Province of China",10.819,21.4,27.386,24.21665668
Tajikistan,0,0.056,0.07,0.068
Tanzania,0.007,0.013,0.128,1.33
Thailand,0.281,3.038,7.413,12.52
Timor-Leste,0.001,0.021,0.067,0.05
Togo,0,0.136,0.461,0.508
Tokelau,0,0,0,0
Tonga,0.251,0.82,1.721,2.973
Trinidad and Tobago,0.311,6.581,16.422,22.778
Tunisia,0.051,2.324,5.016,7.913
Turkey,0.711,7.58,11.235,15.299
Turkmenistan,0,0.008,0.035,0.079
Turks & Caicos Is.,0,0,0,0
Tuvalu,1.003,2.232,4.145,3.983
Uganda,0.003,0.018,0.139,0.232
Ukraine,0.277,3.381,8.96,13.338
United Arab Emirates,0.968,7.297,11.328,26.388
United Kingdom,5.802,26.655,34.988,39.179
United States,8.936,24.593,30.14,33.657
Uruguay,1.137,7.275,20.817,28.059
Uzbekistan,0.021,0.214,2.152,11.44
Vanuatu,0.016,0.124,0.74,2.103
Vatican,0,0,0,0
Venezuela,0.515,4.014,7.464,8.906
Viet Nam,0.082,2.473,6.024,12.644
Virgin Islands (US),2.063,7.38,8.625,0
Wallis and Futuna,0,5.444,9.624,0
Yemen,0.007,0.157,0.994,1.233
Zambia,0.001,0.05,0.118,0.33
Zimbabwe,0.049,0.198,0.78,1.334
