"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Fixed-telephone subscriptions 100 inhabitants","Portugal","41.96","","","42.41","","","41.89","","","41.05","","","40.48","","","40.29","","","40.23","","","39.76","","","39.26","","","40.82","","","42.34","","","42.98","","","43.30","","","43.25","","","44.04","","","45.17","","","46.37","","","46.96","","","49.47","","","49.75","",""
"Fixed-telephone subscriptions 100 inhabitants","Puerto Rico","35.41","","","35.10","","","34.84","","","33.19","","","30.53","","","28.57","","ITU estimate.","28.64","","ITU estimate.","28.01","","","26.31","","","25.18","","","24.88","","","23.21","","","19.97","","","18.86","","","23.84","","","24.05","","","24.78","","","24.77","","","23.14","","","23.42","",""
"Fixed-telephone subscriptions 100 inhabitants","Qatar","27.04","","","27.23","","","27.54","","","27.06","","","25.34","","","23.73","","","22.33","","","19.48","","","18.51","","","17.40","","","14.54","","","15.18","","","17.96","","","17.66","","","16.98","","","17.92","","","17.60","","","16.94","","","16.25","","","16.29","",""
"Fixed-telephone subscriptions 100 inhabitants","Romania","17.61","","","18.72","","","19.29","","","19.94","","","20.34","","","20.46","","","19.77","","","20.99","","","22.80","","","22.92","","","21.98","","","23.01","","","22.99","","","23.44","Provisional.","","22.76","","","21.43","","","20.76","","","19.79","","","18.76","","","17.45","",""
"Fixed-telephone subscriptions 100 inhabitants","Russian Federation","21.91","","","22.82","","","24.45","","","24.96","","","26.72","","","27.91","","","30.61","","","31.56","","","31.79","","","31.66","","","31.30","","","30.72","","","29.28","","","28.04","","","26.41","","","24.52","","","22.22","","","21.96","","","20.66","","","18.97","",""
"Fixed-telephone subscriptions 100 inhabitants","Rwanda","0.22","","","0.26","","","0.30","","","0.30","","","0.26","","","0.27","","","0.26","","","0.25","","","0.18","","","0.34","","","0.40","","","0.38","","","0.42","","","0.42","","","0.45","","","0.15","","","0.11","","","0.10","","","0.11","","","0.09","",""
"Fixed-telephone subscriptions 100 inhabitants","Réunion","38.01","","","40.07","","","42.09","","","44.08","","","46.04","","","48.00","","","49.97","","","51.93","","","53.90","","","55.86","","","57.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Saint Kitts and Nevis","49.71","","","50.45","","","52.03","","","51.37","","","43.93","","","43.32","","","43.62","","","42.80","","","42.34","","","42.18","","","40.39","","","40.04","","ITU estimate.","40.09","","ITU estimate.","38.15","","","38.21","","","38.57","","","33.77","","","33.23","","","30.79","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Saint Lucia","31.20","","","31.61","","","32.07","","","30.52","","","25.96","","","23.87","","","23.80","","","23.67","","","24.08","","","22.39","","","21.51","","","20.45","","","20.86","","","18.87","","","18.41","","","19.47","","","19.74","","","19.35","","","20.05","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Saint Vincent and the Grenadines","23.11","","","24.17","","","25.28","","","19.56","","","17.53","","","20.72","","","20.85","","","21.13","","","21.01","","","21.26","","","20.05","","","20.98","","","17.87","","","17.56","","","21.96","","","22.78","","","18.77","","","18.29","","","17.44","","","11.70","",""
"Fixed-telephone subscriptions 100 inhabitants","Samoa","4.88","","","5.51","","","6.68","","","7.49","","","9.18","","","10.85","","","","","","","","","","","","","","","4.30","","","","","","4.37","","","4.39","","","6.13","","","5.92","","","4.98","","","4.33","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","San Marino","73.93","","","73.71","","","73.12","","","72.44","","","71.71","","","71.10","","","70.71","","","70.12","","","69.99","","","66.29","","","62.62","","","59.02","","","58.25","","","57.60","","","56.45","","","49.74","","","47.76","","","53.46","","","48.84","","","47.25","",""
"Fixed-telephone subscriptions 100 inhabitants","Sao Tome and Principe","3.24","","","3.76","","","4.32","","","4.63","","","4.59","","","4.52","","","4.70","","","4.60","","","4.47","","","4.37","","","4.33","","","4.31","","","4.26","","","3.63","","","3.47","","","3.23","","","2.82","","","2.69","","","2.51","","","2.22","",""
"Fixed-telephone subscriptions 100 inhabitants","Saudi Arabia","14.35","","","15.25","","","15.67","","","15.60","","","15.97","","","16.14","","","16.13","","","15.87","","","15.84","","","15.66","","","15.19","","","16.39","","","16.47","","","16.44","","","","","","11.81","","","13.07","","","14.08","","","15.99","","","15.69","",""
"Fixed-telephone subscriptions 100 inhabitants","Senegal","2.10","","","2.36","","","2.18","","","2.17","","","2.27","","","2.40","","","2.48","","","2.30","","","1.98","","","2.26","","","2.70","","","2.66","","","2.54","","","2.49","","","2.20","","","2.06","","","1.91","","","1.88","","","1.91","","","1.27","",""
"Fixed-telephone subscriptions 100 inhabitants","Serbia","","","","","","","","","","","","","29.05","","","27.49","","","29.73","","","32.89","","","34.05","","","34.42","","","34.59","","","33.81","","","33.30","","","33.99","","","32.10","","","31.21","","","30.32","","","29.56","","","29.25","","","29.24","",""
"Fixed-telephone subscriptions 100 inhabitants","Seychelles","25.46","","","25.78","","","25.27","","","24.70","","","24.34","","","24.14","","","23.10","","","25.22","","","24.68","","","28.72","","","24.16","","","30.38","","","22.62","","","23.29","","","22.51","","","22.47","","","21.77","","","20.38","","","20.90","","","20.59","",""
"Fixed-telephone subscriptions 100 inhabitants","Sierra Leone","0.41","","","0.48","","","0.48","","","0.49","","","0.49","","","0.49","","","0.50","","","0.51","","","0.51","","","0.52","","","0.22","","","0.24","","","0.27","","","0.23","","","0.24","","","0.24","","","0.23","","","0.23","","","0.06","","","0.04","",""
"Fixed-telephone subscriptions 100 inhabitants","Singapore","48.30","","","47.77","","","46.95","","","45.76","","","44.46","","","43.24","","","42.10","","","40.66","","","39.28","","","38.88","","","38.90","","","38.34","","","37.02","","","36.07","","","36.14","","","36.05","","","35.35","","","34.89","","","34.75","","","32.93","",""
"Fixed-telephone subscriptions 100 inhabitants","Slovakia","31.45","","","28.82","","","25.98","","","23.98","","","23.16","","","22.17","","","21.62","","","24.27","","","23.87","","","22.58","","","20.33","","","19.52","","","18.00","","","17.84","","","16.92","","","15.94","","","15.13","","","13.93","","","13.25","","","12.37","",""
"Fixed-telephone subscriptions 100 inhabitants","Slovenia","39.51","","","40.35","","","40.65","","","40.86","","","49.97","","","51.10","","","51.39","","","49.98","","","48.36","","","46.17","","","44.58","","","42.96","","","40.59","","","38.70","","","37.23","","","36.36","","","35.13","","","35.59","","","34.78","","","34.02","",""
"Fixed-telephone subscriptions 100 inhabitants","Solomon Islands","1.86","","","1.74","","","1.52","","","1.40","","","1.52","","","1.58","","","1.58","","","1.58","","","1.59","","","1.59","","","1.59","","","1.55","","","1.45","","","1.33","","","1.28","","","1.23","","","1.20","","","1.16","","","1.14","","","1.06","",""
"Fixed-telephone subscriptions 100 inhabitants","Somalia","0.28","","","0.38","","","0.37","","","1.02","","","0.99","","","0.96","","","0.93","","","0.90","","","0.88","","","0.85","","","0.83","","","0.73","","","0.55","","","0.49","","","0.43","","","0.37","","","0.34","","","","","","0.50","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","South Africa","11.03","","","10.81","","","10.65","","","10.51","","","10.37","","","10.23","","","10.08","","","9.94","","","9.79","","","9.64","","","9.49","","","9.33","","","9.17","","","7.22","","","6.69","","","7.46","","","8.05","","","8.44","","","5.79","","","3.46","",""
"Fixed-telephone subscriptions 100 inhabitants","South Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","0.02","","","0.00","Less than 0.01 subscriptions per 100 inhabitants.","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Spain","41.90","","","42.43","","","42.08","","","41.69","","","41.41","","","44.21","","","44.41","","","44.45","","","44.66","","","43.46","","","43.00","","","42.24","","","41.59","","","41.30","","","41.12","","","41.51","","","41.79","","","41.99","","","41.73","","","42.02","",""
"Fixed-telephone subscriptions 100 inhabitants","Sri Lanka","4.09","","","4.37","","","4.63","","","4.88","","","5.11","","","6.36","","","9.57","","","13.82","","","17.25","","","17.07","","","17.66","","","17.69","","","16.80","","","13.10","","","13.04","","","15.72","","","11.80","","","12.32","","","11.65","","","10.75","",""
"Fixed-telephone subscriptions 100 inhabitants","St. Helena","34.01","","","35.83","","","37.13","","","38.87","","","41.00","","","41.96","","","42.64","","","43.93","","","44.49","","","45.49","","","45.90","","","45.81","","","46.93","","","46.70","","","46.58","","","46.51","","","46.31","","","49.93","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","St. Maarten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","St. Pierre & Miquelon","75.79","","","76.79","","","77.42","","","78.07","","","78.48","","","78.39","","","77.97","","","77.16","","","76.26","","","75.71","","","75.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Sudan","1.16","","","1.30","","","1.90","","","2.57","","","2.75","","","1.48","","","1.26","","","0.85","","","0.88","","","0.86","","","1.58","","","1.37","","","1.17","","","1.12","","","1.09","","","0.31","","","0.34","","","0.35","","","0.33","","","0.32","",""
"Fixed-telephone subscriptions 100 inhabitants","Suriname","15.99","","","16.23","","","16.32","","","16.36","","","16.55","","","16.23","","","16.13","","","16.04","","","16.05","","","16.01","","","16.06","","","15.69","","","15.97","","","15.52","","","15.35","","","16.44","","","15.76","","","15.61","","","15.30","","","15.95","",""
"Fixed-telephone subscriptions 100 inhabitants","Sweden","68.19","","","66.92","","","65.57","","","64.57","","","63.27","","","62.34","","","60.98","","","60.02","","","57.79","","","55.19","","","50.42","","","47.35","","","43.69","","","40.84","","","38.99","","","36.40","","","31.56","","","26.43","","","21.70","","","17.45","",""
"Fixed-telephone subscriptions 100 inhabitants","Switzerland","73.29","","","74.99","","","74.62","","","73.24","","","71.73","","","69.72","","","67.33","","","65.37","","","63.33","","","66.53","","","62.85","","","61.95","","","58.97","","","56.65","","","53.31","","","49.90","","","45.02","","","42.09","","","38.38","","","36.11","",""
"Fixed-telephone subscriptions 100 inhabitants","Syrian Arab Republic","10.21","","","10.84","","","12.26","","","13.84","","","14.91","","","15.81","","","17.02","","","17.37","","","17.58","","","18.25","","","19.05","","","20.34","","","20.81","","","22.62","","","19.40","","","19.67","","","19.84","","","15.95","","","16.17","","","16.66","",""
"Fixed-telephone subscriptions 100 inhabitants","Taiwan, Province of China","57.55","","","58.11","","","59.89","","","62.06","","","62.79","","","63.77","","","63.28","","","62.65","","","62.42","","","68.58","","","70.87","","","72.66","","","68.52","","","70.86","","","59.78","","","59.07","","","58.31","","","57.30","","","55.53","","","54.56","",""
"Fixed-telephone subscriptions 100 inhabitants","Tajikistan","3.52","","","3.59","","","3.70","","","3.75","","","4.10","","","4.13","","","","","","4.14","","","3.98","","","4.72","","","4.88","","","4.94","","","4.99","","","5.27","","","5.34","","","5.41","","","5.40","","","5.39","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Tanzania","0.52","","","0.52","","","0.46","","","0.40","","","0.40","","","0.40","","","0.38","","","0.40","","","0.30","","","0.40","","","0.39","","","0.35","","","0.37","","","0.34","","","0.30","","","0.28","","","0.24","","","0.23","","","0.22","","","0.13","",""
"Fixed-telephone subscriptions 100 inhabitants","Thailand","8.88","","","9.52","","","10.23","","","10.27","","","10.48","","","10.75","","","10.75","","","10.61","","","11.11","","","10.78","","","10.17","","","9.87","","","9.40","","","8.89","","","8.31","","","7.73","","","6.82","","","14.38","","","8.73","","","7.78","",""
"Fixed-telephone subscriptions 100 inhabitants","Timor-Leste","","","","","","","","","","0.21","","","0.22","","","0.23","","","0.25","","","0.24","","","0.25","","","0.27","","","0.27","","","0.27","","","0.26","","","0.26","","","0.30","","","0.23","","","0.21","","","0.19","","","0.17","","","0.16","",""
"Fixed-telephone subscriptions 100 inhabitants","Togo","0.87","","","0.96","","","0.98","","","1.15","","","1.21","","","1.12","","","1.42","","","1.68","","","2.32","","","2.86","","","0.93","","","0.91","","","0.91","","","0.90","","","0.75","","","0.72","","","0.45","","","0.47","","","0.48","","","0.54","",""
"Fixed-telephone subscriptions 100 inhabitants","Tokelau","14.80","","","19.96","","","19.51","","","19.25","","","21.21","","","22.35","","","25.71","","","26.29","","","26.64","","","26.64","","","26.32","","","","","","","","","0.00","","","","","","","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Tonga","9.90","","","10.97","","","11.31","","","12.05","","","12.97","","","13.62","","","18.14","","","20.50","","","24.70","","","29.84","","","29.81","","","28.97","","","29.20","","","30.46","","","11.88","","","13.12","","","10.88","","","14.41","","","14.24","","","6.35","",""
"Fixed-telephone subscriptions 100 inhabitants","Trinidad and Tobago","25.00","","","24.52","","","24.91","","","24.84","","","24.99","","","24.86","","","24.99","","","23.49","","","23.95","","","22.96","","","22.08","","","21.86","","","21.31","","","21.52","","","21.21","","","19.77","","","19.76","","","18.60","","","22.98","","","24.62","",""
"Fixed-telephone subscriptions 100 inhabitants","Tunisia","9.84","","","10.78","","","11.64","","","11.70","","","12.01","","","12.44","","","12.43","","","12.36","","","11.90","","","12.15","","","12.13","","","11.34","","","10.13","","","9.33","","","8.58","","","8.44","","","8.62","","","9.74","","","11.26","","","12.43","",""
"Fixed-telephone subscriptions 100 inhabitants","Turkey","29.09","","","29.45","","","29.00","","","28.62","","","28.54","","","27.95","","","27.39","","","26.16","","","24.85","","","23.18","","","22.40","","","20.71","","","18.57","","","17.85","","","16.22","","","14.64","","","13.88","","","13.94","","","14.13","","","13.82","",""
"Fixed-telephone subscriptions 100 inhabitants","Turkmenistan","8.07","","","8.49","","","8.11","","","8.08","","","8.25","","","8.37","","","8.81","","","9.41","","","9.68","","","9.87","","","10.22","","","10.57","","","10.92","","","11.22","","","11.42","","","11.64","","","11.74","","","11.85","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Turks & Caicos Is.","16.84","","","17.72","","","15.63","","","14.85","","","13.93","","","13.13","","","12.59","","","12.18","","","11.86","","","11.59","","","11.33","","","","","","10.86","","","11.52","","","11.59","","","11.12","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Tuvalu","7.03","","","6.85","","","6.88","","","7.20","","","7.60","","","8.90","","","10.87","","","12.72","","","9.70","","","7.67","","","11.40","","","13.64","","","13.50","","","13.36","","","13.67","","","18.02","","","17.82","","","17.59","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Uganda","0.26","","","0.23","","","0.22","","","0.23","","","0.27","","","0.32","","","0.38","","","0.56","","","0.55","","","0.74","","","1.01","","","1.39","","","0.91","","","0.76","","","0.88","","","0.86","","","0.93","","","0.64","","","0.19","","","0.17","",""
"Fixed-telephone subscriptions 100 inhabitants","Ukraine","21.33","","","22.04","","","22.58","","","23.35","","","25.72","","","24.88","","","26.59","","","27.82","","","28.53","","","28.32","","","28.26","","","27.82","","","26.86","","","26.22","","","24.67","","","21.31","","","19.84","","","16.94","","","14.39","","","9.96","",""
"Fixed-telephone subscriptions 100 inhabitants","United Arab Emirates","32.55","","","31.88","","","31.44","","","30.60","","","29.19","","","26.96","","","24.71","","","22.46","","","22.51","","","19.96","","","17.30","","","20.40","","","21.52","","","22.68","","","22.82","","","24.38","","","24.42","","","24.46","","","24.31","","","24.18","",""
"Fixed-telephone subscriptions 100 inhabitants","United Kingdom","59.79","","","58.49","","","58.55","","","58.01","","","57.75","","","56.51","","","55.65","","","54.45","","","55.02","","","53.33","","","52.65","","","51.94","","","51.45","","","51.37","","","50.80","","","50.43","","","49.22","","","47.61","","","46.90","","","47.81","",""
"Fixed-telephone subscriptions 100 inhabitants","United States","68.34","","","67.31","","","65.88","","","63.12","","","60.78","","","59.38","","","56.24","","","52.70","","","53.63","","","49.91","","","48.43","","","46.00","","","44.13","","","42.11","","","40.32","","","38.91","","","37.57","","","35.77","","","33.76","","","32.69","",""
"Fixed-telephone subscriptions 100 inhabitants","Uruguay","27.99","","","28.59","","","28.46","","","28.23","","","30.01","","","30.28","","","29.68","","","28.97","","","28.72","","","28.47","","","28.64","","","28.64","","","29.92","","","30.93","","","31.85","","","32.43","","","32.52","","","33.08","","","33.44","","","33.66","",""
"Fixed-telephone subscriptions 100 inhabitants","Uzbekistan","6.68","","","6.62","","","6.61","","","6.67","","","6.71","","","6.79","","","6.87","","","6.70","","","6.69","","","6.62","","","6.64","","","6.65","","","6.72","","","6.68","","","8.24","","","9.11","","","10.85","","","10.78","","","10.65","","","10.77","",""
"Fixed-telephone subscriptions 100 inhabitants","Vanuatu","3.59","","","3.57","","","3.41","","","3.29","","","3.31","","","3.33","","","3.50","","","4.02","","","4.63","","","3.14","","","3.01","","","2.42","","","1.94","","","2.14","","","2.17","","","1.77","","","1.64","","","1.58","","","1.42","","","1.27","",""
"Fixed-telephone subscriptions 100 inhabitants","Vatican","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Venezuela","10.48","","","10.97","","","11.32","","","11.57","","","12.87","","","13.81","","","15.70","","","19.07","","","23.22","","","24.50","","","24.90","","","25.38","","","26.05","","","26.10","","","25.99","","","25.86","","","25.66","","","20.16","","","19.20","","","18.77","",""
"Fixed-telephone subscriptions 100 inhabitants","Viet Nam","3.18","","","3.78","","","4.82","","","5.35","","","12.19","","","","","","10.12","","","13.07","","","17.12","","","20.01","","","16.34","","","11.45","","","10.64","","","7.41","","","7.33","","","7.90","","","5.98","","","4.64","","","4.50","","","3.79","",""
"Fixed-telephone subscriptions 100 inhabitants","Virgin Islands (US)","62.80513604","","","63.85073281","","","63.89863763","","","64.31432263","","","65.58117159","","","66.51576155","","","67.46570881","","","68.52448303","","","69.50429016","","","70.48077285","","","71.45079039","","","","","","","","","72.17268264","","","72.39758738","","","72.40991635","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Wallis and Futuna","11.60337553","","","12.73327494","","","11.22898319","","","11.14864865","","","11.51527198","","","11.76116206","","","14.66903963","","","17.12425701","","","20.99720136","","","22.77735272","","","24.5645835","","","25.4052319","","","25.29292929","","","","","","25.3808752","","","","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Yemen","1.991542111","","","2.356396979","","","2.939780329","","","3.654906505","","","4.083909917","","","4.482850078","","ITU estimate.","4.680706543","","","4.802064042","","","4.389702133","","","4.427871877","","","4.518546974","","","4.515367117","","","4.511061048","","","4.545254089","","","4.525338079","","","4.310633953","","","4.291147948","","","4.275220902","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Zambia","0.7999851","","","0.801163989","","","0.799092356","","","0.785538055","","","0.794059759","","","0.798439844","","","0.767461228","","","0.734138274","","","0.705139031","","","0.683617478","","","0.870117148","","","0.611322535","","","0.570626644","","","0.77554456","","","0.742997241","","","0.731547069","","","0.619716199","","","0.60191298","","","0.578870968","","","0.541508524","",""
"Fixed-telephone subscriptions 100 inhabitants","Zimbabwe","2.09906563","","","2.127975764","","","2.407955638","","","2.511395213","","","2.637290523","","","2.715973959","","","2.760571334","","","2.814965696","","","2.811087868","","","3.074295392","","","2.984787115","","","2.760905149","","","2.300011818","","","2.278303385","","","2.424980534","","","2.415569756","","","2.178993496","","","1.855429616","","","1.861989658","","","1.81444526","",""
